Gene_Name	Gene_Length_Normalized
A1BG	0.00024035572647518327
A1CF	0.00035935362715322375
A2M	0.0007412745804591784
A2ML1	0.0005733856095708907
A4GALT	0.00037700928813791683
A4GNT	0.0009228284692582767
AAAS	0.0006893382352941177
AACS	0.00015394878637040079
AADAC	0.0013839872673171406
AADACL2	0.0005834518469897531
AADACL3	0.0011897208121827412
AADACL4	0.0010208157649460744
AADAT	0.00019061536995266384
AAGAB	5.538938739337543e-05
AAK1	4.226364059000042e-05
AAMP	0.0009787928221859706
AANAT	0.00011928903733746869
AARD	0.0006361323155216285
AARS	0.00018792955326460482
AARS2	0.0007314218841427735
AASDH	0.0001422475106685633
AASDHPPT	0.00012926020078417856
AASS	8.74215027756327e-05
AATF	2.77788066224675e-05
AATK	0.00012299618711819933
ABAT	9.999090991728025e-05
ABCA1	0.00010187795021564166
ABCA10	0.00025606358570960344
ABCA12	0.0004156898760180777
ABCA13	0.00022477244415875238
ABCA3	0.0005241655746550528
ABCA4	0.0005144393779960248
ABCA5	0.00015675304161190357
ABCA6	0.0005380938815560409
ABCA7	0.0009815854568298716
ABCA8	0.0005561861520998865
ABCA9	0.0003118647200147847
ABCB1	0.00021963750262610058
ABCB10	0.00016621945717474414
ABCB11	0.0005166814289932093
ABCB4	0.00035560974370697757
ABCB5	0.0002966112168475171
ABCB6	0.00043374539145521576
ABCB7	4.833159339597108e-05
ABCB8	0.0003615889250477814
ABCB9	9.885004448252002e-05
ABCC1	0.00014470508586696435
ABCC10	0.0011706555671175858
ABCC11	0.0004463289444320464
ABCC12	0.0004928468752139093
ABCC2	0.00015836452634609846
ABCC3	0.0008003479773814702
ABCC4	7.457280436357438e-05
ABCC5	0.0001427391645680611
ABCC6	0.0007373247178057217
ABCC8	0.0008569694228548984
ABCC9	0.0004930521315824196
ABCD1	0.0001005378776454029
ABCD2	0.0002868699618462951
ABCD3	5.9827099681919255e-05
ABCD4	0.0003402710826291612
ABCE1	0.00025602457835952253
ABCF1	0.0001937759175289695
ABCF2	0.00020625999071830043
ABCF3	0.0008762047815746651
ABCG1	0.00013325816206242634
ABCG2	7.798210665116477e-05
ABCG4	0.0009532189470596861
ABCG5	0.0003409995074451559
ABCG8	0.00045567313047440637
ABHD1	0.0008573878250928837
ABHD10	6.967184560719014e-05
ABHD11	0.00144248106743599
ABHD12	5.195344970906068e-05
ABHD12B	0.000121914050594331
ABHD13	0.0001889644746787604
ABHD14B	0.00013423719712732398
ABHD15	0.0009104704097116844
ABHD16A	0.0003643872221547431
ABHD16B	0.0005633802816901409
ABHD2	4.351572223044186e-05
ABHD3	5.565036729242413e-05
ABHD4	0.0003541327289468093
ABHD5	0.0001807582809887478
ABHD6	3.437193874920515e-05
ABHD8	0.00016570008285004143
ABI1	4.3670410676542e-05
ABI2	8.367920739054759e-06
ABI3	0.0006154793045083859
ABI3BP	0.00010640082828952484
ABL1	6.907309660448169e-05
ABL2	5.3698688984864644e-05
ABLIM1	5.9080704241994565e-05
ABLIM2	6.200909466721785e-05
ABLIM3	0.00010918956147792271
ABR	2.2167345726357417e-05
ABRA	0.0013937929752834046
